Latitude,Longitude,STATION_NAME,STATION_CODE,DIVISION,STATE,CATEGORY
26.157295,91.6920453,KAMAKHYA,KYQ,LMG,ASSAM,A
25.7505782,93.1765539,LUMDING,LMG,LMG,ASSAM,A
26.4472785,91.6064099,RANGIYA JN. ,RNY,RNY,ASSAM,A
24.8300535,92.7873955,SILCHAR,SCL,LMG,ASSAM,A
27.4796344,95.3372848,TINSUKIA,TSK,TSK,ASSAM,A
24.8559708,84.3287313,ANUGRAHA NARAYAN ROAD,AUBR,MGS,BIHAR,A
25.5487958,84.6613775,ARA JN.,ARA,DNR,BIHAR,A
25.4558729,85.532603,BAKHTIYARPUR JN.,BKP,DNR,BIHAR,A
25.4620441,85.9875962,BARAUNI JN.,BJU,SEE,BIHAR,A
26.8053995,84.5223827,BETIAH,BTH,SPJ,BIHAR,A
25.5612101,83.9810882,BUXAR,BXR,DNR,BIHAR,A
25.5822775,85.0436279,DANAPUR,DNR,DNR,BIHAR,A
24.9151459,84.1855467,DEHRI-ON-SONE,DOS,MGS,BIHAR,A
25.7021728,85.2155034,HAJIPUR JN.,HJP,SEE,BIHAR,A
25.0960742,85.3131194,JAMUI,JMU,DNR,BIHAR,A
26.5885527,86.1359014,JAYNAGAR,JYG,SPJ,BIHAR,A
25.5061504,86.4670358,KHAGARIA JN.,KGG,SEE,BIHAR,A
26.0981403,87.9498058,KIUL JN.,KEU,DNR,BIHAR,A
26.3488811,86.0773465,MADHUBANI,MBI,SPJ,BIHAR,A
25.3921849,85.9141634,MOKAMA,MKA,DNR,BIHAR,A
26.6554641,84.9051507,BAPUDHAM MOTIHARI,BMKI,SPJ,BIHAR,A
27.1048944,84.4639444,NARKATIAGANJ JN.,NKE,SPJ,BIHAR,A
25.585818,85.2312576,PATNA SAHIB JN.,PNC,DNR,BIHAR,A
25.6027447,85.1626785,RAJENDRA NAGAR(T),RJPB,DNR,BIHAR,A
26.9868646,84.8447217,RAUXAUL JN.,RXL,SPJ,BIHAR,A
26.7586446,84.7393809,SAGAULI JN.,SGL,SPJ,BIHAR,A
25.8733726,86.594274,SAHARSA JN.,SHC,SPJ,BIHAR,A
25.8598831,85.7862803,SAMASTIPUR JN.,SPJ,SPJ,BIHAR,A
24.9562073,84.01856,SASARAM JN.,SSM,MGS,BIHAR,A
25.3148743,86.4928768,JAMALPUR ,JMP,MLDT,BIHAR,A
26.2110683,84.3594016,SIWAN JN.,SV,VARANASI,BIHAR,A
26.4027544,87.2638537,JOGBANI,JBN,KIR,BIHAR,A
25.5479337,87.565149,KATIHAR JN,KIR,KIR,BIHAR,A
26.0981403,87.9498058,KISHANGANJ,KNE,KIR,BIHAR,A
